NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
22Q11.2 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20210210%WP4657%HOMO SAPIENS	22Q11.2 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20210210%WP4657%HOMO SAPIENS	Details ...	74	-0.71524566	-2.700249	0.0	0.0	0.0	178	tags=41%, list=1%, signal=41%	
SYNAPTIC VESICLE PATHWAY%WIKIPATHWAYS_20210210%WP2267%HOMO SAPIENS	SYNAPTIC VESICLE PATHWAY%WIKIPATHWAYS_20210210%WP2267%HOMO SAPIENS	Details ...	39	-0.7246088	-2.337944	0.0	0.0	0.0	1636	tags=49%, list=12%, signal=55%	
SIGNAL RELEASE FROM SYNAPSE%GOBP%GO:0099643	SIGNAL RELEASE FROM SYNAPSE%GOBP%GO:0099643	Details ...	57	-0.655208	-2.3115964	0.0	0.0	0.0	1636	tags=49%, list=12%, signal=55%	
NEUROTRANSMITTER SECRETION%GOBP%GO:0007269	NEUROTRANSMITTER SECRETION%GOBP%GO:0007269	Details ...	57	-0.655208	-2.2557263	0.0	0.0	0.0	1636	tags=49%, list=12%, signal=55%	
SYNAPTIC_VESICLE_TRAFFICKING%PANTHER PATHWAY%P05734	SYNAPTIC_VESICLE_TRAFFICKING%PANTHER PATHWAY%P05734	Details ...	22	-0.7644179	-2.2100096	0.0	5.5224984E-4	0.003	1636	tags=59%, list=12%, signal=67%	
REGULATION OF NEUROTRANSMITTER SECRETION%GOBP%GO:0046928	REGULATION OF NEUROTRANSMITTER SECRETION%GOBP%GO:0046928	Details ...	39	-0.6735705	-2.2057636	0.0	7.664967E-4	0.005	1219	tags=41%, list=9%, signal=45%	
IONOTROPIC GLUTAMATE RECEPTOR PATHWAY%PANTHER PATHWAY%P00037	IONOTROPIC GLUTAMATE RECEPTOR PATHWAY%PANTHER PATHWAY%P00037	Details ...	38	-0.6728886	-2.2038193	0.0	7.894215E-4	0.006	958	tags=42%, list=7%, signal=45%	
SYNAPTIC VESICLE EXOCYTOSIS%GOBP%GO:0016079	SYNAPTIC VESICLE EXOCYTOSIS%GOBP%GO:0016079	Details ...	34	-0.6916567	-2.1922123	0.0	8.039946E-4	0.007	1636	tags=56%, list=12%, signal=63%	
SYNAPTIC VESICLE LOCALIZATION%GOBP%GO:0097479	SYNAPTIC VESICLE LOCALIZATION%GOBP%GO:0097479	Details ...	61	-0.60719514	-2.1796827	0.0	0.0010196283	0.01	1418	tags=39%, list=10%, signal=44%	
NEUROTRANSMITTER TRANSPORT%GOBP%GO:0006836	NEUROTRANSMITTER TRANSPORT%GOBP%GO:0006836	Details ...	109	-0.54077435	-2.1657572	0.0	0.0011942616	0.013	1636	tags=38%, list=12%, signal=42%	
REGULATION OF SYNAPTIC PLASTICITY%GOBP%GO:0048167	REGULATION OF SYNAPTIC PLASTICITY%GOBP%GO:0048167	Details ...	102	-0.5514799	-2.1525912	0.0	0.0011692377	0.014	1747	tags=37%, list=13%, signal=42%	
SYNAPTIC VESICLE CYCLE%GOBP%GO:0099504	SYNAPTIC VESICLE CYCLE%GOBP%GO:0099504	Details ...	74	-0.5846571	-2.1459994	0.0	0.0013009735	0.017	1477	tags=41%, list=11%, signal=45%	
LEARNING%GOBP%GO:0007612	LEARNING%GOBP%GO:0007612	Details ...	48	-0.636537	-2.1434999	0.0	0.0014081596	0.02	2455	tags=52%, list=18%, signal=63%	
