NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
22Q11.2 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20210210%WP4657%HOMO SAPIENS	22Q11.2 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20210210%WP4657%HOMO SAPIENS	Details ...	74	-0.9170594	-3.1266673	0.0	0.0	0.0	59	tags=36%, list=0%, signal=36%	
ADRENALINE AND NORADRENALINE BIOSYNTHESIS%PANTHER PATHWAY%P00001	ADRENALINE AND NORADRENALINE BIOSYNTHESIS%PANTHER PATHWAY%P00001	Details ...	22	-0.7859014	-2.3268974	0.0	0.27684557	0.503	294	tags=23%, list=2%, signal=23%	
SIGNAL RELEASE FROM SYNAPSE%GOBP%GO:0099643	SIGNAL RELEASE FROM SYNAPSE%GOBP%GO:0099643	Details ...	57	-0.6896297	-2.2948618	0.0	0.30451378	0.674	1944	tags=47%, list=14%, signal=55%	
NEUROTRANSMITTER SECRETION%GOBP%GO:0007269	NEUROTRANSMITTER SECRETION%GOBP%GO:0007269	Details ...	57	-0.6896297	-2.2590394	0.0	0.37594315	0.836	1944	tags=47%, list=14%, signal=55%	
SYNAPTIC VESICLE PATHWAY%WIKIPATHWAYS_20210210%WP2267%HOMO SAPIENS	SYNAPTIC VESICLE PATHWAY%WIKIPATHWAYS_20210210%WP2267%HOMO SAPIENS	Details ...	39	-0.7007261	-2.2065268	0.0	0.5882982	0.984	2157	tags=54%, list=15%, signal=64%	
FATTY ACYL-COA BIOSYNTHESIS%REACTOME%R-HSA-75105.6	FATTY ACYL-COA BIOSYNTHESIS%REACTOME%R-HSA-75105.6	Details ...	27	-0.71807635	-2.177872	0.008287293	0.6834753	0.994	389	tags=11%, list=3%, signal=11%	
PID_REELIN_PATHWAY%MSIGDB_C2%PID_REELIN_PATHWAY	PID_REELIN_PATHWAY%MSIGDB_C2%PID_REELIN_PATHWAY	Details ...	22	-0.7659157	-2.1766386	0.0	0.5949982	0.995	170	tags=14%, list=1%, signal=14%	
SYNAPTIC VESICLE EXOCYTOSIS%GOBP%GO:0016079	SYNAPTIC VESICLE EXOCYTOSIS%GOBP%GO:0016079	Details ...	34	-0.7184112	-2.1748397	0.002739726	0.5303466	0.995	2195	tags=59%, list=16%, signal=70%	
IONOTROPIC GLUTAMATE RECEPTOR PATHWAY%PANTHER PATHWAY%P00037	IONOTROPIC GLUTAMATE RECEPTOR PATHWAY%PANTHER PATHWAY%P00037	Details ...	38	-0.67176425	-2.1740513	0.0054347827	0.47594336	0.995	1565	tags=39%, list=11%, signal=44%	
FATTY-ACYL-COA BIOSYNTHETIC PROCESS%GOBP%GO:0046949	FATTY-ACYL-COA BIOSYNTHETIC PROCESS%GOBP%GO:0046949	Details ...	25	-0.7323793	-2.1719794	0.010899182	0.4397795	0.996	389	tags=12%, list=3%, signal=12%	
SYNAPTIC VESICLE LOCALIZATION%GOBP%GO:0097479	SYNAPTIC VESICLE LOCALIZATION%GOBP%GO:0097479	Details ...	61	-0.6493257	-2.1717088	0.0	0.40119156	0.996	1944	tags=43%, list=14%, signal=49%	
