NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDB_C2%HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDB_C2%HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	120	0.64085054	2.4572892	0.0	0.0	0.0	2709	tags=54%, list=19%, signal=67%	
REGULATION OF BLOOD VESSEL ENDOTHELIAL CELL MIGRATION%GOBP%GO:0043535	REGULATION OF BLOOD VESSEL ENDOTHELIAL CELL MIGRATION%GOBP%GO:0043535	Details ...	69	0.6659053	2.3402915	0.0	0.0	0.0	2333	tags=45%, list=17%, signal=54%	
POSITIVE REGULATION OF ENDOTHELIAL CELL MIGRATION%GOBP%GO:0010595	POSITIVE REGULATION OF ENDOTHELIAL CELL MIGRATION%GOBP%GO:0010595	Details ...	87	0.62887067	2.2920334	0.0	0.0	0.0	3603	tags=54%, list=26%, signal=72%	
REGULATION OF LEUKOCYTE PROLIFERATION%GOBP%GO:0070663	REGULATION OF LEUKOCYTE PROLIFERATION%GOBP%GO:0070663	Details ...	79	0.64655167	2.2919502	0.0	0.0	0.0	2169	tags=41%, list=16%, signal=48%	
REGULATION OF ENDOTHELIAL CELL MIGRATION%GOBP%GO:0010594	REGULATION OF ENDOTHELIAL CELL MIGRATION%GOBP%GO:0010594	Details ...	130	0.6035616	2.2531872	0.0	2.2004746E-4	0.001	3152	tags=46%, list=23%, signal=59%	
NEGATIVE REGULATION OF LYMPHOCYTE ACTIVATION%GOBP%GO:0051250	NEGATIVE REGULATION OF LYMPHOCYTE ACTIVATION%GOBP%GO:0051250	Details ...	52	0.6803652	2.2497177	0.0	1.8337286E-4	0.001	2022	tags=44%, list=15%, signal=52%	
GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%R-HSA-72706.2	GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%R-HSA-72706.2	Details ...	109	0.59873235	2.244383	0.0	1.5717675E-4	0.001	4551	tags=69%, list=33%, signal=101%	
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3	L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3	Details ...	108	0.6052276	2.2402005	0.0	1.3752966E-4	0.001	4551	tags=70%, list=33%, signal=104%	
REGULATION OF ANGIOGENESIS%GOBP%GO:0045765	REGULATION OF ANGIOGENESIS%GOBP%GO:0045765	Details ...	181	0.5601976	2.2279565	0.0	1.2224859E-4	0.001	2333	tags=39%, list=17%, signal=46%	
EUKARYOTIC TRANSLATION INITIATION%REACTOME%R-HSA-72613.3	EUKARYOTIC TRANSLATION INITIATION%REACTOME%R-HSA-72613.3	Details ...	116	0.5876665	2.2229927	0.0	1.1002373E-4	0.001	4551	tags=66%, list=33%, signal=98%	
REGULATION OF T CELL PROLIFERATION%GOBP%GO:0042129	REGULATION OF T CELL PROLIFERATION%GOBP%GO:0042129	Details ...	52	0.66797656	2.2207394	0.0	1.0002157E-4	0.001	1150	tags=37%, list=8%, signal=40%	
REGULATION OF EPITHELIAL CELL MIGRATION%GOBP%GO:0010632	REGULATION OF EPITHELIAL CELL MIGRATION%GOBP%GO:0010632	Details ...	173	0.56081724	2.219487	0.0	9.168643E-5	0.001	3152	tags=43%, list=23%, signal=55%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDB_C2%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDB_C2%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	134	0.5761595	2.2188313	0.0	8.463363E-5	0.001	3803	tags=61%, list=27%, signal=83%	
RESPONSE OF EIF2AK4 (GCN2) TO AMINO ACID DEFICIENCY%REACTOME DATABASE ID RELEASE 75%9633012	RESPONSE OF EIF2AK4 (GCN2) TO AMINO ACID DEFICIENCY%REACTOME DATABASE ID RELEASE 75%9633012	Details ...	98	0.6041212	2.2157154	0.0	7.8588375E-5	0.001	4551	tags=72%, list=33%, signal=107%	
POSITIVE REGULATION OF VASCULATURE DEVELOPMENT%GOBP%GO:1904018	POSITIVE REGULATION OF VASCULATURE DEVELOPMENT%GOBP%GO:1904018	Details ...	111	0.59062654	2.2146137	0.0	7.3349154E-5	0.001	2333	tags=43%, list=17%, signal=52%	
PEPTIDE CHAIN ELONGATION%REACTOME%R-HSA-156902.2	PEPTIDE CHAIN ELONGATION%REACTOME%R-HSA-156902.2	Details ...	86	0.6127579	2.2141368	0.0	6.876483E-5	0.001	4551	tags=74%, list=33%, signal=110%	
REGULATION OF MONONUCLEAR CELL PROLIFERATION%GOBP%GO:0032944	REGULATION OF MONONUCLEAR CELL PROLIFERATION%GOBP%GO:0032944	Details ...	72	0.6275615	2.2101214	0.0	6.471983E-5	0.001	3044	tags=49%, list=22%, signal=62%	
SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%REACTOME DATABASE ID RELEASE 75%1799339	SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%REACTOME DATABASE ID RELEASE 75%1799339	Details ...	109	0.5948177	2.203836	0.0	6.1124294E-5	0.001	4551	tags=75%, list=33%, signal=111%	
POSITIVE REGULATION OF LEUKOCYTE PROLIFERATION%GOBP%GO:0070665	POSITIVE REGULATION OF LEUKOCYTE PROLIFERATION%GOBP%GO:0070665	Details ...	52	0.6596838	2.2020113	0.0	5.7907222E-5	0.001	1344	tags=37%, list=10%, signal=40%	
POSITIVE REGULATION OF BLOOD VESSEL ENDOTHELIAL CELL MIGRATION%GOBP%GO:0043536	POSITIVE REGULATION OF BLOOD VESSEL ENDOTHELIAL CELL MIGRATION%GOBP%GO:0043536	Details ...	42	0.6928993	2.1999955	0.0	5.5011864E-5	0.001	2333	tags=50%, list=17%, signal=60%	
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 75%72737	CAP-DEPENDENT TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 75%72737		116	0.5876665	2.1964061	0.0	5.239225E-5	0.001	4551	tags=66%, list=33%, signal=98%	
REGULATION OF LYMPHOCYTE PROLIFERATION%GOBP%GO:0050670	REGULATION OF LYMPHOCYTE PROLIFERATION%GOBP%GO:0050670		71	0.62870437	2.1910515	0.0	5.0010785E-5	0.001	3044	tags=49%, list=22%, signal=63%	
POSITIVE REGULATION OF EPITHELIAL CELL MIGRATION%GOBP%GO:0010634	POSITIVE REGULATION OF EPITHELIAL CELL MIGRATION%GOBP%GO:0010634		117	0.58418256	2.1899664	0.0	4.78364E-5	0.001	3603	tags=52%, list=26%, signal=70%	
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.2	FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.2		98	0.5986538	2.188431	0.0	4.5843215E-5	0.001	4551	tags=69%, list=33%, signal=102%	
VIRAL MRNA TRANSLATION%REACTOME%R-HSA-192823.4	VIRAL MRNA TRANSLATION%REACTOME%R-HSA-192823.4		86	0.6123355	2.1865203	0.0	4.400949E-5	0.001	4551	tags=74%, list=33%, signal=110%	
NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975956.1	NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975956.1		92	0.6057127	2.1779964	0.0	8.3869614E-5	0.002	4551	tags=72%, list=33%, signal=106%	
COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006613	COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006613		96	0.5945076	2.17409	0.0	1.20929195E-4	0.003	4551	tags=74%, list=33%, signal=109%	
