NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDB_C2%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDB_C2%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	134	0.69650877	2.2876523	0.0	0.0	0.0	1484	tags=53%, list=11%, signal=59%	
VITAMIN D RECEPTOR PATHWAY%WIKIPATHWAYS_20210210%WP2877%HOMO SAPIENS	VITAMIN D RECEPTOR PATHWAY%WIKIPATHWAYS_20210210%WP2877%HOMO SAPIENS	Details ...	69	0.7567245	2.2857563	0.0	0.0	0.0	1567	tags=49%, list=11%, signal=55%	
REGULATION OF LEUKOCYTE PROLIFERATION%GOBP%GO:0070663	REGULATION OF LEUKOCYTE PROLIFERATION%GOBP%GO:0070663	Details ...	79	0.73471963	2.261004	0.0	0.0	0.0	1678	tags=44%, list=12%, signal=50%	
INTERLEUKIN-4 AND INTERLEUKIN-13 SIGNALING%REACTOME DATABASE ID RELEASE 75%6785807	INTERLEUKIN-4 AND INTERLEUKIN-13 SIGNALING%REACTOME DATABASE ID RELEASE 75%6785807	Details ...	64	0.7461401	2.2542922	0.0	0.0	0.0	1823	tags=56%, list=13%, signal=64%	
REGULATION OF MONONUCLEAR CELL PROLIFERATION%GOBP%GO:0032944	REGULATION OF MONONUCLEAR CELL PROLIFERATION%GOBP%GO:0032944	Details ...	72	0.7276346	2.2401738	0.0	0.0	0.0	1678	tags=46%, list=12%, signal=52%	
COLLAGEN FORMATION%REACTOME%R-HSA-1474290.3	COLLAGEN FORMATION%REACTOME%R-HSA-1474290.3	Details ...	74	0.7287299	2.2335517	0.0	0.0	0.0	2555	tags=76%, list=18%, signal=92%	
REGULATION OF LYMPHOCYTE PROLIFERATION%GOBP%GO:0050670	REGULATION OF LYMPHOCYTE PROLIFERATION%GOBP%GO:0050670	Details ...	71	0.72910774	2.218575	0.0	0.0	0.0	1678	tags=46%, list=12%, signal=53%	
NEGATIVE REGULATION OF LYMPHOCYTE ACTIVATION%GOBP%GO:0051250	NEGATIVE REGULATION OF LYMPHOCYTE ACTIVATION%GOBP%GO:0051250	Details ...	52	0.75155085	2.2156737	0.0	0.0	0.0	1963	tags=52%, list=14%, signal=60%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDB_C2%HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDB_C2%HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	120	0.68132585	2.2140296	0.0	0.0	0.0	2428	tags=54%, list=17%, signal=65%	
BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	Details ...	54	0.7531302	2.2117064	0.0	0.0	0.0	2328	tags=74%, list=17%, signal=89%	
COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME DATABASE ID RELEASE 75%1650814	COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME DATABASE ID RELEASE 75%1650814	Details ...	58	0.742617	2.194148	0.0	9.333429E-5	0.001	2541	tags=79%, list=18%, signal=97%	
